1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


277
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


278
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


279
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


280
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


281
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
IMPC 	['iMM904 fprica_c'] 	['iMM904 h2o_c', 'iMM904 imp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
IMPC 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 fprica_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


282
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


283
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ADEtm 	['iMM904 ade_c'] 	['iMM904 ade_m']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
ADEtm 	['iMM904 ade_m'] 	['iMM904 ade_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


284
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ADEtm 	['iMM904 ade_c'] 	['iMM904 ade_m']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
ADEtm 	['iMM904 ade_m'] 	['iMM904 ade_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


285
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


286
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


287
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


288
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
