1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


3
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
DPGM 	['iMM904 13dpg_c'] 	['iMM904 23dpg_c', 'iMM904 h_c']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
DPGM 	['iMM904 23dpg_c', 'iMM904 h_c'] 	['iMM904 13dpg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


4
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


5
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


6
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
TPI 	['iMM904 dhap_c'] 	['iMM904 g3p_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


7
RBK 	['iMM904 rib_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 r5p_c', 'iMM904 h_c', 'iMM904 adp_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


8
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


9
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


10
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


11
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']


12
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']


13
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
HEX1 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 g6p_c', 'iMM904 h_c', 'iMM904 adp_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


14
